motivo(cancellationName);idIncidencia();
Carrier;138;
Carrier;140;
Carrier;199;
Carrier;274;
Carrier;290;
Carrier;318;
Carrier;423;
National Air System;585;
Carrier;657;
Carrier;793;
Carrier;820;
National Air System;837;
Carrier;874;
National Air System;892;
National Air System;925;
National Air System;926;
Carrier;1000;
Carrier;1057;
Carrier;1467;
Carrier;1533;
National Air System;1569;
Weather;1688;
Weather;1689;
Carrier;1695;
Weather;1698;
Carrier;1723;
Carrier;1727;
Weather;1742;
Weather;1743;
Weather;1744;
Weather;1745;
Weather;1746;
Carrier;1768;
Carrier;1778;
Carrier;1792;
Carrier;1799;
Carrier;1803;
Carrier;1809;
Carrier;1866;
Carrier;1867;
Carrier;1870;
Carrier;1871;
Carrier;1877;
Carrier;1878;
Carrier;1888;
Carrier;1900;
Carrier;1907;
Carrier;1908;
Carrier;1955;
Weather;1998;
Weather;2004;
Weather;2005;
Weather;2014;
Weather;2015;
Weather;2028;
Weather;2059;
Weather;2076;
Weather;2083;
Weather;2084;
Weather;2085;
Weather;2095;
Weather;2101;
Weather;2306;
Weather;2308;
Weather;2310;
Weather;2315;
Weather;2325;
Weather;2326;
Weather;2355;
Weather;2356;
Weather;2357;
Weather;2360;
Weather;2361;
Weather;2362;
Carrier;2365;
Weather;2366;
Weather;2424;
Weather;2425;
National Air System;2731;
National Air System;2787;
Carrier;2801;
Carrier;2978;
National Air System;3002;
Carrier;3049;
Carrier;3070;
National Air System;3108;
Carrier;3511;
Carrier;3553;
Carrier;3601;
Carrier;3629;
Carrier;3634;
Carrier;3654;
Carrier;3657;
Carrier;3658;
Carrier;3662;
Carrier;3663;
Carrier;3664;
Carrier;3665;
Carrier;3668;
Carrier;3670;
Carrier;3671;
Carrier;3675;
Carrier;3677;
Carrier;3678;
Carrier;3710;
Carrier;3863;
Carrier;3883;
Carrier;3982;
Weather;4042;
Carrier;4063;
Carrier;4108;
Carrier;4168;
Carrier;4189;
Carrier;4313;
Carrier;4493;
Carrier;4826;
Carrier;4865;
Carrier;4867;
Carrier;4868;
Carrier;4924;
Carrier;4925;
National Air System;4928;
Carrier;5004;
Carrier;5005;
Carrier;5044;
Carrier;5208;
Carrier;5209;
Carrier;5277;
Carrier;5281;
Carrier;5346;
Weather;5350;
Weather;5368;
Weather;5370;
Weather;5378;
Weather;5405;
Weather;5408;
Carrier;5424;
Weather;5430;
Weather;5431;
National Air System;5445;
Carrier;5458;
National Air System;5463;
Carrier;5464;
Carrier;5541;
Carrier;5614;
Carrier;5730;
National Air System;5731;
National Air System;5732;
National Air System;5872;
Carrier;5925;
National Air System;5926;
National Air System;5994;
National Air System;5995;
Carrier;6048;
National Air System;6074;
National Air System;6126;
Carrier;6141;
National Air System;6170;
National Air System;6234;
National Air System;6237;
National Air System;6242;
National Air System;6247;
Carrier;6255;
Carrier;6260;
National Air System;6275;
National Air System;6279;
Carrier;6280;
National Air System;6306;
National Air System;6383;
Weather;6427;
National Air System;6428;
National Air System;6429;
National Air System;6430;
National Air System;6431;
National Air System;6435;
National Air System;6443;
National Air System;6446;
National Air System;6448;
National Air System;6456;
Carrier;6464;
National Air System;6479;
National Air System;6483;
National Air System;6488;
National Air System;6490;
National Air System;6499;
National Air System;6500;
National Air System;6501;
Weather;6503;
Weather;6506;
National Air System;6514;
National Air System;6521;
National Air System;6524;
National Air System;6543;
Weather;6546;
Weather;6558;
Weather;6560;
Weather;6578;
National Air System;6594;
National Air System;6595;
Weather;6596;
Weather;6997;
Weather;7004;
Weather;7005;
Weather;7006;
Weather;7024;
Weather;7032;
Weather;7041;
Weather;7051;
Weather;7060;
Weather;7065;
Weather;7088;
Carrier;7093;
Weather;7103;
Weather;7128;
Weather;7129;
Weather;7181;
Weather;7190;
Weather;7194;
Weather;7198;
Weather;7211;
Weather;7225;
Weather;7226;
Weather;7229;
Weather;7236;
Weather;7239;
Weather;7301;
Carrier;7304;
Weather;7307;
Weather;7312;
Carrier;7369;
Weather;7376;
Weather;7378;
Carrier;7413;
Weather;7416;
Weather;7419;
Weather;7421;
Carrier;7423;
Weather;7502;
Weather;7565;
Weather;7569;
Weather;7570;
Weather;7571;
Weather;7572;
Weather;7575;
Weather;7576;
Weather;7601;
Weather;7602;
Weather;7603;
Weather;7623;
Weather;7625;
Weather;7628;
Weather;7647;
National Air System;7657;
Weather;7694;
Weather;7695;
Weather;7707;
Carrier;7715;
Carrier;7752;
Carrier;7773;
Carrier;7857;
National Air System;7899;
Carrier;7906;
Carrier;7907;
Carrier;7932;
National Air System;7940;
Carrier;7951;
Carrier;8031;
Carrier;8036;
Weather;8040;
Weather;8162;
Weather;8252;
Carrier;8264;
Carrier;8278;
Weather;8286;
Carrier;8323;
Carrier;8328;
Weather;8411;
Carrier;8414;
National Air System;8420;
National Air System;8444;
Carrier;8502;
Carrier;8513;
Carrier;8514;
Carrier;8585;
Carrier;8658;
Carrier;8705;
Carrier;8721;
Carrier;8828;
Weather;8830;
Carrier;8851;
Weather;8875;
Carrier;8915;
Carrier;8924;
Carrier;8977;
Carrier;9002;
Carrier;9008;
Carrier;9027;
Carrier;9131;
Carrier;9137;
Weather;9141;
Carrier;9284;
Carrier;9383;
Carrier;9430;
Carrier;9453;
Carrier;9527;
Carrier;9584;
Carrier;9627;
National Air System;9702;
Carrier;9733;
Carrier;9735;
Carrier;9808;
Carrier;9851;
Carrier;9896;
National Air System;9897;
Carrier;9917;
National Air System;9925;
Carrier;9986;
Carrier;9990;
Carrier;10087;
Carrier;10088;
Carrier;10089;
Carrier;10090;
Carrier;10093;
Carrier;10094;
Carrier;10150;
Carrier;10161;
Carrier;10162;
Carrier;10163;
Carrier;10187;
Carrier;10189;
Carrier;10199;
Carrier;10200;
Carrier;10225;
Carrier;10232;
Carrier;10235;
Carrier;10245;
Carrier;10246;
National Air System;10289;
Carrier;10328;
National Air System;10338;
Carrier;10349;
Carrier;10362;
Carrier;10370;
Carrier;10478;
Carrier;10537;
Carrier;10538;
Carrier;10561;
National Air System;10597;
Carrier;10770;
National Air System;10797;
Carrier;10812;
Carrier;10869;
Carrier;10887;
Carrier;10970;
Carrier;11044;
National Air System;11116;
Carrier;11130;
Carrier;11200;
Carrier;11201;
Carrier;11222;
Carrier;11275;
Carrier;11342;
Carrier;11343;
Carrier;11367;
National Air System;11435;
Carrier;11455;
Carrier;11501;
Carrier;11522;
Carrier;11556;
Carrier;11572;
Carrier;11748;
Carrier;11778;
National Air System;12155;
National Air System;12157;
National Air System;12195;
National Air System;12280;
Weather;12321;
National Air System;12369;
National Air System;12506;
National Air System;12522;
Weather;12535;
National Air System;12547;
Carrier;12720;
Carrier;12729;
Carrier;12751;
Carrier;12767;
Carrier;12772;
Carrier;12774;
Carrier;12776;
Carrier;12782;
Carrier;12813;
Carrier;12859;
Weather;12884;
Carrier;12937;
Carrier;12938;
Carrier;12943;
Carrier;13029;
Carrier;13054;
Carrier;13055;
Carrier;13072;
Carrier;13073;